AADM7056	(0-3G)	IND STD PRAC	700995	LE	TBA	CI	Hamilton, J.	05/09/2016 - 08/06/2016
AADM8040	(1-12G)	PROF INTERN	700996	LE	TBA	CI	Hamilton, J.	05/09/2016 - 08/06/2016
AADM8099	(1G)	MASTER'S CANDIDACY	700997	LE	TBA	CI	Hamilton, J.	05/09/2016 - 08/06/2016
ACCT2081	(3)	FIN ACCT	700021	WEST	LE	R      	6:00p - 9:00p	CI	Bell, M.	05/09/2016 - 08/06/2016
ACCT2081	(3)	FIN ACCT	702221	OT	TBA	WB	Goedl, P.	05/09/2016 - 08/06/2016
ACCT2081	(3)	FIN ACCT	702222	OT	TBA	WB	Goedl, P.	05/09/2016 - 08/06/2016
ACCT2082	(3)	MANAGERIAL ACCT	700023	WEST	LE	T      	6:00p - 9:00p	CI	Siriwardane, H.	05/09/2016 - 08/06/2016
ACCT3072	(3)	INTRO TO TAX	700026	WEST	LE	R      	6:00p - 9:00p	CI	Bruns, M.	05/09/2016 - 08/06/2016
ACCT3073	(3)	COST ACCT	700027	WEST	LE	TR     	3:00p - 4:30p	CI	Rogers, M.	05/09/2016 - 08/06/2016
ACCT6072	(3*)	TAX II	700030	WEST	LE	R      	6:00p - 9:00p	CI	Richshafer, H.	05/09/2016 - 08/06/2016
ACCT6076	(3*)	NON-PROFIT ACCT	700032	WEST	LE	W      	6:00p - 9:00p	CI	Bell, M.	05/09/2016 - 08/06/2016
ACCT6098	(3*)	PROF ETHICS	700033	WEST	LE	M      	6:00p - 9:00p	CI	Ricketts, J.	05/09/2016 - 08/06/2016
ACCT7000	(2G)	FIN ACCT FOUNDATION	700034	OT	TBA	WB	Rogers, M.	05/09/2016 - 08/06/2016
ACCT7012	(3G)	ACCT MGR DECISIONS	700035	OC  	LE	R      	6:00p - 9:00p	CI	Rogers, M.	05/09/2016 - 08/06/2016
AE2031C	(1)	ARCH ENGRG LAB I	701651	WEST	LE	T      	1:00p - 3:50p	CI	Staff	05/09/2016 - 08/06/2016
AE2031C	(1)	ARCH ENGRG LAB I	701652	WEST	LE	R      	1:00p - 3:50p	CI	Staff	05/09/2016 - 08/06/2016
AEEM2022	(3)	THERMO AND ENERGY	701643	WEST	IS	TR     	1:15p - 2:45p	CI	Tambe, S.	05/09/2016 - 08/06/2016
AEEM2032	(2)	DYNAMICS	702003	WEST	LE	MW     	11:45a - 12:45p	CI	Walker, B.	05/09/2016 - 08/06/2016
AEEM2042C	(4)	AERODYNAMICS	701725	WEST	LB	M      	3:30p - 5:30p	CI	Staff	WEST	LE	MWF    	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
AEEM2042C	(4)	AERODYNAMICS	701726	WEST	LB	T      	9:15a - 11:15a	CI	Staff	WEST	LE	MWF    	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
AEEM2042C	(4)	AERODYNAMICS	701727	WEST	LB	W      	3:30p - 5:30p	CI	Staff	WEST	LE	MWF    	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
AEEM2042C	(4)	AERODYNAMICS	701728	WEST	LB	R      	8:45a - 10:45a	CI	Staff	WEST	LE	MWF    	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
AEEM2042C	(4)	AERODYNAMICS	701729	WEST	LB	F      	3:30p - 5:30p	CI	Staff	WEST	LE	MWF    	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
AEEM2052C	(2)	ENGG MEASUREMENTS	701730	WEST	LB	T      	3:00p - 5:00p	CI	Disimile, P.	WEST	LE	T      	11:30a - 1:00p	CI	05/09/2016 - 08/06/2016
AEEM2052C	(2)	ENGG MEASUREMENTS	701731	WEST	LB	R      	11:00a - 1:00p	CI	Disimile, P.	WEST	LE	T      	11:30a - 1:00p	CI	05/09/2016 - 08/06/2016
AEEM2052C	(2)	ENGG MEASUREMENTS	701732	WEST	LB	R      	3:00p - 5:00p	CI	Disimile, P.	WEST	LE	T      	11:30a - 1:00p	CI	05/09/2016 - 08/06/2016
AEEM2052C	(2)	ENGG MEASUREMENTS	701733	WEST	LB	R      	5:15p - 7:15p	CI	Disimile, P.	WEST	LE	T      	11:30a - 1:00p	CI	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701692	IS	TBA	IN	Abdallah, S.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701693	IS	TBA	IN	Cohen, K.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701694	IS	TBA	IN	Disimile, P.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701695	IS	TBA	IN	Gutmark, E.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701696	IS	TBA	IN	Hamed, A.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701697	IS	TBA	IN	Jeng, S.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701698	IS	TBA	IN	Lee, J.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701699	IS	TBA	IN	Liu, G.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701700	IS	TBA	IN	Munday, D.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701701	IS	TBA	IN	Nagy, P.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701702	IS	TBA	IN	Orkwis, P.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701703	IS	TBA	IN	Rozier, K.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701704	IS	TBA	IN	Simonetti, F.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701705	IS	TBA	IN	Turner, M.	05/09/2016 - 08/06/2016
AEEM8060	(1-6G)	MENG CAPSTONE	701706	IS	TBA	IN	Walker, B.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701675	IS	TBA	IN	Abdallah, S.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701677	IS	TBA	IN	Cohen, K.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701678	IS	TBA	IN	Disimile, P.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701679	IS	TBA	IN	Gutmark, E.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701680	IS	TBA	IN	Hamed, A.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701681	IS	TBA	IN	Jeng, S.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701682	IS	TBA	IN	Lee, J.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701683	IS	TBA	IN	Liu, G.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701684	IS	TBA	IN	Munday, D.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701685	IS	TBA	IN	Nagy, P.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701686	IS	TBA	IN	Orkwis, P.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701687	IS	TBA	IN	Rozier, K.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701688	IS	TBA	IN	Simonetti, F.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701689	IS	TBA	IN	Turner, M.	05/09/2016 - 08/06/2016
AEEM9070	(1-15G)	GRADUATE RESEARCH	701690	IS	TBA	IN	Walker, B.	05/09/2016 - 08/06/2016
